# "Frame" "WignerSeitz.vacancy_count" "WignerSeitz.interstitial_count"
0 0 0 
1 28 28 
2 25 25 
3 31 31 
4 26 26 
5 15 15 
6 22 22 
7 25 25 
8 33 33 
9 26 26 
10 29 29 
11 35 35 
12 26 26 
13 40 40 
14 32 32 
15 28 28 
16 33 33 
17 14 14 
18 27 27 
19 29 29 
20 18 18 
21 0 0 
22 20 20 
23 25 25 
24 38 38 
25 28 28 
26 30 30 
27 35 35 
28 27 27 
29 38 38 
30 24 24 
31 31 31 
32 26 26 
33 27 27 
34 31 31 
35 44 44 
36 29 29 
37 26 26 
38 22 22 
39 21 21 
40 25 25 
41 26 26 
42 0 0 
43 31 31 
44 24 24 
45 0 0 
46 28 28 
47 20 20 
48 31 31 
49 0 0 
50 34 34 
