# "Frame" "WignerSeitz.vacancy_count" "WignerSeitz.interstitial_count"
0 0 0 
1 0 0 
2 15 15 
3 12 12 
4 19 19 
5 11 11 
6 0 0 
7 31 31 
8 16 16 
9 7 7 
10 18 18 
11 18 18 
12 25 25 
13 21 21 
14 18 18 
15 4 4 
16 12 12 
17 12 12 
18 27 27 
19 18 18 
20 9 9 
21 25 25 
22 20 20 
23 12 12 
24 0 0 
25 20 20 
26 35 35 
27 0 0 
28 13 13 
29 18 18 
30 15 15 
31 9 9 
32 8 8 
33 8 8 
34 9 9 
35 15 15 
36 0 0 
37 15 15 
38 14 14 
39 22 22 
40 21 21 
41 21 21 
42 5 5 
43 15 15 
44 12 12 
45 12 12 
46 11 11 
47 16 16 
48 14 14 
49 20 20 
50 8 8 
