# "Frame" "WignerSeitz.vacancy_count" "WignerSeitz.interstitial_count"
0 0 0 
1 3 3 
2 7 7 
3 0 0 
4 5 5 
5 10 10 
6 14 14 
7 11 11 
8 9 9 
9 8 8 
10 3 3 
11 6 6 
12 6 6 
13 0 0 
14 6 6 
15 11 11 
16 9 9 
17 11 11 
18 9 9 
19 0 0 
20 14 14 
21 8 8 
22 7 7 
23 14 14 
24 0 0 
25 0 0 
26 11 11 
27 16 16 
28 10 10 
29 17 17 
30 4 4 
31 6 6 
32 4 4 
33 12 12 
34 10 10 
35 6 6 
36 2 2 
37 8 8 
38 0 0 
39 6 6 
40 0 0 
41 3 3 
42 10 10 
43 12 12 
44 9 9 
45 4 4 
46 7 7 
47 13 13 
48 6 6 
49 8 8 
50 0 0 
