# "Frame" "WignerSeitz.vacancy_count" "WignerSeitz.interstitial_count"
0 0 0 
1 21 21 
2 0 0 
3 14 14 
4 23 23 
5 16 16 
6 21 21 
7 0 0 
8 20 20 
9 0 0 
10 18 18 
11 19 19 
12 27 27 
13 12 12 
14 22 22 
15 31 31 
16 12 12 
17 5 5 
18 11 11 
19 14 14 
20 8 8 
21 14 14 
22 29 29 
23 19 19 
24 18 18 
25 9 9 
26 12 12 
27 16 16 
28 0 0 
29 10 10 
30 0 0 
31 11 11 
32 20 20 
33 25 25 
34 26 26 
35 4 4 
36 13 13 
37 12 12 
38 11 11 
39 0 0 
40 0 0 
41 10 10 
42 18 18 
43 13 13 
44 20 20 
45 21 21 
46 10 10 
47 14 14 
48 44 44 
49 19 19 
50 13 13 
