# "Frame" "WignerSeitz.vacancy_count" "WignerSeitz.interstitial_count"
0 0 0 
1 24 24 
2 19 19 
3 16 16 
4 11 11 
5 12 12 
6 10 10 
7 19 19 
8 9 9 
9 15 15 
10 11 11 
11 11 11 
12 10 10 
13 26 26 
14 18 18 
15 15 15 
16 19 19 
17 14 14 
18 12 12 
19 20 20 
20 9 9 
21 0 0 
22 16 16 
23 12 12 
24 10 10 
25 17 17 
26 12 12 
27 14 14 
28 11 11 
29 13 13 
30 15 15 
31 18 18 
32 10 10 
33 23 23 
34 15 15 
35 13 13 
36 7 7 
37 20 20 
38 21 21 
39 11 11 
40 15 15 
41 11 11 
42 0 0 
43 10 10 
44 26 26 
45 0 0 
46 13 13 
47 15 15 
48 17 17 
49 0 0 
50 24 24 
