# "Frame" "WignerSeitz.vacancy_count" "WignerSeitz.interstitial_count"
0 0 0 
1 0 0 
2 23 23 
3 26 26 
4 18 18 
5 18 18 
6 22 22 
7 16 16 
8 17 17 
9 13 13 
10 27 27 
11 24 24 
12 0 0 
13 10 10 
14 0 0 
15 32 32 
16 19 19 
17 18 18 
18 20 20 
19 11 11 
20 12 12 
21 20 20 
22 22 22 
23 20 20 
24 0 0 
25 0 0 
26 30 30 
27 24 24 
28 12 12 
29 24 24 
30 28 28 
31 30 30 
32 30 30 
33 20 20 
34 18 18 
35 13 13 
36 28 28 
37 24 24 
38 20 20 
39 22 22 
40 0 0 
41 21 21 
42 29 29 
43 27 27 
44 18 18 
45 27 27 
46 26 26 
47 21 21 
48 44 44 
49 29 29 
50 0 0 
